Bib,ID,11.1k,16.6k,20k,20.7k,Chip Time,Finish Time
23498,01559,0:46:24,0:26:01,0:15:54,0:03:08,1:38:58,1:38:58
20101,01560,0:46:35,0:26:01,0:16:02,0:03:11,1:39:03,1:39:03
20165,01561,0:46:28,0:25:56,0:15:43,0:03:09,1:39:05,1:39:05
21200,01562,0:46:44,0:26:00,0:15:30,0:02:56,1:39:05,1:39:05
21444,01563,0:46:58,0:25:52,0:15:28,0:02:59,1:39:15,1:39:15
23357,01564,0:46:20,0:26:37,0:15:45,0:03:10,1:39:15,1:39:15
21229,01565,0:47:17,0:25:32,0:15:19,0:02:56,1:39:16,1:39:16
21288,01566,0:46:34,0:26:23,0:15:52,0:02:59,1:39:16,1:39:16
23580,01567,0:46:22,0:26:35,0:15:45,0:03:10,1:39:17,1:39:17
20545,01568,0:47:32,0:25:27,0:15:18,0:02:56,1:39:18,1:39:18
21304,01569,0:46:22,0:26:36,0:15:50,0:03:06,1:39:20,1:39:20
21301,01570,0:46:22,0:26:35,0:15:51,0:03:06,1:39:21,1:39:21
20253,01571,0:47:03,0:26:05,0:15:35,0:03:00,1:39:24,1:39:24
20133,01572,0:46:29,0:26:20,0:15:50,0:03:07,1:39:24,1:39:24
21299,01573,0:46:30,0:26:18,0:15:50,0:03:08,1:39:24,1:39:24
21555,01574,0:46:56,0:25:43,0:15:31,0:02:54,1:39:30,1:39:30
23039,01575,0:46:28,0:26:21,0:16:03,0:03:03,1:39:30,1:39:30
20155,01576,0:46:50,0:26:01,0:15:56,0:03:07,1:39:32,1:39:32
23063,01577,0:46:14,0:26:03,0:15:41,0:03:09,1:39:40,1:39:40
20952,01578,0:44:43,0:27:19,0:16:48,0:03:10,1:39:44,1:39:44
20685,01579,0:46:26,0:26:02,0:15:51,0:02:59,1:39:45,1:39:45
20179,01580,0:46:43,0:26:17,0:16:10,0:03:06,1:39:46,1:39:46
21735,01581,0:46:16,0:26:24,0:15:58,0:03:10,1:39:46,1:39:46
20689,01582,0:47:12,0:25:41,0:15:50,0:03:02,1:39:50,1:39:50
21746,01583,0:44:21,0:26:59,0:17:40,0:03:06,1:39:57,1:39:57
21824,01584,0:46:22,0:26:27,0:16:21,0:03:08,1:40:01,1:40:01
23057,01585,0:46:22,0:26:27,0:16:22,0:03:07,1:40:02,1:40:02
20187,01586,0:47:10,0:26:25,0:15:52,0:03:01,1:40:02,1:40:02
20237,01587,0:46:39,0:26:40,0:16:14,0:03:04,1:40:11,1:40:11
23026,01588,0:47:33,0:26:45,0:15:43,0:02:59,1:40:13,1:40:13
23177,01589,0:47:47,0:25:21,0:15:42,0:03:06,1:40:14,1:40:14
20043,01590,0:46:37,0:26:35,0:16:12,0:03:06,1:40:15,1:40:15
23055,01591,0:46:46,0:27:05,0:15:59,0:03:07,1:40:16,1:40:16
21113,01592,0:47:36,0:26:14,0:15:29,0:02:54,1:40:17,1:40:17
20313,01593,0:46:26,0:26:35,0:16:21,0:03:10,1:40:20,1:40:20
20247,01594,0:46:46,0:26:50,0:15:52,0:03:07,1:40:22,1:40:22
23361,01595,0:46:45,0:26:26,0:16:14,0:03:04,1:40:27,1:40:27
20181,01596,0:47:29,0:26:34,0:16:03,0:02:55,1:40:27,1:40:27
20521,01597,0:46:06,0:26:23,0:16:39,,1:40:29,1:40:29
21285,01598,0:46:39,0:26:28,0:16:16,0:03:13,1:40:31,1:40:31
21660,01599,0:46:57,0:25:51,0:15:39,0:02:58,1:40:34,1:40:34
20365,01600,0:47:14,0:26:41,0:16:04,0:03:09,1:40:42,1:40:42
20655,01601,0:47:54,0:26:03,0:15:31,0:03:01,1:40:54,1:40:54
20656,01602,0:47:55,0:26:08,0:15:35,0:02:56,1:40:57,1:40:57
20586,01603,0:47:31,0:26:44,0:15:56,0:03:07,1:40:59,1:40:59
21795,01604,0:47:11,0:26:13,0:16:37,0:03:15,1:41:02,1:41:02
20745,01605,0:47:39,0:26:57,0:15:56,0:02:59,1:41:09,1:41:09
20541,01606,0:47:34,0:26:54,0:15:51,0:03:10,1:41:09,1:41:09
23019,01607,0:46:34,0:27:16,0:16:36,0:03:17,1:41:13,1:41:13
23365,01608,0:46:58,0:26:38,0:16:31,0:03:06,1:41:13,1:41:13
20215,01609,0:46:33,0:27:15,0:16:37,0:03:16,1:41:14,1:41:14
20630,01610,0:46:58,0:26:37,0:16:32,0:03:04,1:41:14,1:41:14
21782,01611,0:46:23,0:26:34,0:17:00,0:03:28,1:41:16,1:41:16
20077,01612,0:47:26,0:26:48,0:16:13,0:03:08,1:41:21,1:41:21
20590,01613,0:46:17,0:27:09,0:17:25,0:03:15,1:41:25,1:41:25
20124,01614,0:47:01,0:26:45,0:16:32,0:03:02,1:41:27,1:41:27
21251,01615,0:47:15,0:26:46,0:16:10,0:03:11,1:41:37,1:41:37
21258,01616,0:47:10,0:26:57,0:16:06,0:03:03,1:41:42,1:41:42
21260,01617,0:47:13,0:26:56,0:16:06,0:03:03,1:41:42,1:41:42
21752,01618,0:47:00,0:26:57,0:16:45,0:03:12,1:41:44,1:41:44
21250,01619,0:48:18,0:27:03,0:16:10,0:02:54,1:41:54,1:41:54
23139,01620,0:47:18,0:27:08,0:16:25,0:03:15,1:41:55,1:41:55
23376,01621,0:46:56,0:27:12,0:17:03,0:03:14,1:41:57,1:41:57
20274,01622,0:45:36,0:27:30,0:17:42,0:03:32,1:41:58,1:41:58
20722,01623,0:47:51,0:27:12,0:16:00,0:03:15,1:41:59,1:41:59
21417,01624,0:48:22,0:26:56,0:16:03,0:03:06,1:42:09,1:42:09
21387,01625,0:47:18,0:27:04,0:16:58,0:03:12,1:42:18,1:42:18
20354,01626,0:47:47,0:26:53,0:16:23,0:03:14,1:42:19,1:42:19
20105,01627,0:47:10,0:27:12,0:16:50,0:03:24,1:42:20,1:42:20
20246,01628,0:46:21,0:27:58,0:17:18,0:03:10,1:42:22,1:42:22
23327,01629,0:47:22,0:28:09,0:16:14,0:03:09,1:42:24,1:42:24
23317,01630,0:49:22,0:26:06,0:15:35,0:03:03,1:42:25,1:42:25
21303,01631,0:47:24,0:28:34,0:15:48,0:03:08,1:42:25,1:42:25
21283,01632,0:46:58,0:27:41,0:17:05,0:03:16,1:42:25,1:42:25
23047,01633,0:47:24,0:28:08,0:16:14,0:03:09,1:42:26,1:42:26
20568,01634,0:48:52,0:26:45,0:15:37,0:02:57,1:42:27,1:42:27
21722,01635,0:47:58,0:26:59,0:16:05,0:03:01,1:42:28,1:42:28
20851,01636,0:48:04,0:27:52,0:16:02,0:03:22,1:42:31,1:42:31
21695,01637,0:48:09,0:26:23,0:16:03,0:03:33,1:42:34,1:42:34
20665,01638,0:46:27,0:27:06,0:17:35,0:03:28,1:42:36,1:42:36
20660,01639,0:48:44,0:26:55,0:16:10,0:03:02,1:42:37,1:42:37
21344,01640,0:50:18,0:26:23,0:15:14,0:02:59,1:42:38,1:42:38
20283,01641,0:48:03,0:27:03,0:16:17,0:03:12,1:42:41,1:42:41
21319,01642,0:48:27,0:26:38,0:15:54,0:03:08,1:42:41,1:42:41
21177,01643,0:48:13,0:26:52,0:16:19,0:03:07,1:42:42,1:42:42
20589,01644,0:48:00,0:27:13,0:16:24,0:03:15,1:42:42,1:42:42
20061,01645,0:44:20,0:27:15,0:19:47,0:03:53,1:42:47,1:42:47
21682,01646,0:48:54,0:27:02,0:16:24,0:03:07,1:42:48,1:42:48
20104,01647,0:48:12,0:27:04,0:16:28,0:03:14,1:42:56,1:42:56
23059,01648,0:48:03,0:27:26,0:16:32,0:03:12,1:43:00,1:43:00
21723,01649,0:48:27,0:26:54,0:16:19,0:03:11,1:43:04,1:43:04
23578,01650,0:47:13,0:28:15,0:16:54,0:03:16,1:43:04,1:43:04
20848,01651,0:48:04,0:27:08,0:16:40,0:03:19,1:43:05,1:43:05
21584,01652,0:47:49,0:27:30,0:16:29,0:03:17,1:43:07,1:43:07
20389,01653,0:47:48,0:27:25,0:16:44,0:03:18,1:43:08,1:43:08
20396,01654,0:47:52,0:27:29,0:17:03,0:03:08,1:43:13,1:43:13
20083,01655,0:48:28,0:27:14,0:16:31,0:03:09,1:43:14,1:43:14
20301,01656,0:48:35,0:27:18,0:15:57,0:03:02,1:43:16,1:43:16
21785,01657,0:50:42,0:26:13,0:15:52,0:03:06,1:43:21,1:43:21
20364,01658,0:47:02,0:27:44,0:16:57,0:03:22,1:43:33,1:43:33
20966,01659,0:47:51,0:26:57,0:16:52,0:03:19,1:43:34,1:43:34
21281,01660,0:48:42,0:26:58,0:16:26,0:03:05,1:43:37,1:43:37
20049,01661,0:49:16,0:26:43,0:16:03,0:03:03,1:43:38,1:43:38
21792,01662,0:47:07,0:27:27,0:17:47,0:03:33,1:43:39,1:43:39
21201,01663,0:48:16,0:27:14,0:16:49,0:03:32,1:43:39,1:43:39
20152,01664,0:49:08,0:27:15,0:16:17,0:03:12,1:43:41,1:43:41
21671,01665,0:48:22,0:27:13,0:16:50,0:03:22,1:43:42,1:43:42
20838,01666,0:48:43,0:26:59,0:16:34,0:03:08,1:43:50,1:43:50
21318,01667,,1:13:01,0:17:16,0:03:16,1:43:50,1:43:50
20700,01668,0:48:11,0:27:55,0:16:55,0:03:10,1:43:51,1:43:51
20329,01669,0:47:56,0:28:02,0:16:48,0:03:14,1:43:52,1:43:52
21267,01670,0:48:15,0:27:17,0:16:49,0:03:28,1:43:54,1:43:54
20383,01671,0:47:51,0:27:24,0:17:07,0:03:25,1:43:54,1:43:54
20157,01672,0:48:12,0:27:21,0:16:48,0:03:29,1:43:54,1:43:54
20109,01673,0:49:27,0:27:21,0:15:30,0:02:54,1:43:55,1:43:55
20639,01674,0:48:06,0:27:33,0:16:56,0:03:17,1:43:56,1:43:56
20164,01675,0:48:31,0:27:15,0:16:44,0:03:17,1:43:58,1:43:58
23174,01676,0:47:19,0:27:19,0:17:12,0:03:28,1:43:59,1:43:59
20754,01677,0:48:30,0:27:15,0:16:44,0:03:19,1:43:59,1:43:59
20230,01678,0:46:23,0:28:05,0:18:13,0:03:24,1:44:03,1:44:03
20038,01679,0:50:39,0:26:37,0:15:30,0:02:53,1:44:04,1:44:04
23500,01680,0:48:52,0:27:20,0:16:40,0:03:07,1:44:04,1:44:04
21238,01681,0:49:04,0:27:18,0:16:26,0:03:08,1:44:06,1:44:06
21741,01682,0:49:02,0:27:40,0:16:53,0:03:18,1:44:06,1:44:06
20571,01683,0:49:55,0:27:20,0:15:53,0:03:05,1:44:12,1:44:12
21814,01684,0:48:41,0:27:39,0:16:44,0:03:13,1:44:14,1:44:14
20854,01685,0:49:04,0:27:30,0:16:44,0:03:11,1:44:17,1:44:17
23495,01686,0:49:16,0:27:40,0:16:17,0:02:55,1:44:19,1:44:19
21778,01687,0:48:51,0:27:20,0:16:44,0:03:22,1:44:21,1:44:21
23493,01688,0:49:24,0:27:09,0:16:25,0:03:13,1:44:23,1:44:23
20474,01689,0:47:56,0:27:38,0:16:49,0:03:23,1:44:23,1:44:23
20714,01690,0:48:46,0:27:21,0:16:42,0:03:16,1:44:25,1:44:25
21764,01691,0:48:21,0:27:37,0:16:44,0:03:19,1:44:25,1:44:25
20584,01692,0:49:18,0:27:12,0:16:20,0:03:11,1:44:32,1:44:32
20163,01693,0:49:21,0:27:26,0:16:39,0:03:11,1:44:33,1:44:33
21636,01694,0:48:27,0:27:10,0:16:42,0:03:20,1:44:34,1:44:34
20162,01695,0:48:47,0:28:36,0:16:57,0:03:10,1:44:36,1:44:36
20305,01696,0:48:45,0:27:37,0:16:49,0:03:12,1:44:38,1:44:38
20551,01697,0:48:29,0:28:16,0:16:55,0:03:01,1:44:40,1:44:40
20286,01698,0:48:34,0:27:42,0:16:51,0:03:14,1:44:41,1:44:41
20346,01699,0:50:22,0:26:55,0:15:55,0:03:05,1:44:41,1:44:41
20715,01700,0:48:27,0:27:48,0:17:05,0:03:07,1:44:44,1:44:44
20449,01701,0:48:56,0:27:29,0:16:50,0:03:21,1:44:46,1:44:46
21034,01702,0:50:12,0:26:57,0:16:08,0:03:17,1:44:46,1:44:46
20088,01703,0:50:03,0:27:44,0:16:20,0:02:51,1:44:50,1:44:50
20530,01704,0:48:22,0:28:06,0:17:22,0:03:21,1:44:50,1:44:50
21391,01705,0:49:08,0:27:28,0:16:35,0:03:21,1:44:53,1:44:53
20864,01706,0:49:33,0:27:46,0:16:16,0:03:11,1:44:53,1:44:53
21831,01707,0:49:19,0:28:20,0:16:43,0:03:00,1:44:54,1:44:54
20137,01708,0:49:17,0:27:38,0:16:47,0:03:12,1:44:55,1:44:55
20957,01709,0:50:37,0:27:16,0:16:04,0:02:54,1:44:55,1:44:55
20153,01710,0:49:47,0:26:58,0:16:35,0:03:13,1:44:55,1:44:55
21641,01711,0:49:14,0:27:49,0:16:39,0:03:07,1:44:56,1:44:56
20073,01712,0:50:27,0:27:29,0:16:18,0:03:08,1:44:57,1:44:57
20890,01713,0:49:34,0:27:46,0:16:33,0:03:07,1:44:59,1:44:59
20212,01714,0:48:11,0:28:09,0:17:29,0:03:21,1:45:03,1:45:03
20242,01715,0:49:10,0:27:48,0:16:19,0:03:12,1:45:03,1:45:03
21737,01716,0:49:20,0:27:37,0:16:39,0:02:52,1:45:04,1:45:04
23035,01717,0:49:11,0:27:47,0:16:20,0:03:12,1:45:04,1:45:04
20743,01718,0:50:05,0:27:20,0:16:08,0:03:08,1:45:10,1:45:10
21842,01719,0:48:53,0:27:53,0:17:07,0:03:17,1:45:10,1:45:10
23169,01720,0:49:32,0:27:44,0:16:16,0:03:00,1:45:13,1:45:13
20273,01721,0:49:37,0:27:11,0:16:43,0:03:12,1:45:22,1:45:22
23117,01722,0:51:05,0:26:51,0:15:39,0:03:02,1:45:28,1:45:28
20291,01723,0:47:08,0:27:58,0:17:49,0:03:59,1:45:29,1:45:29
20138,01724,0:48:46,0:27:13,0:18:15,0:03:59,1:45:31,1:45:31
20200,01725,0:47:48,0:28:45,0:17:11,0:03:42,1:45:31,1:45:31
20860,01726,0:50:03,0:27:14,0:16:40,0:03:14,1:45:33,1:45:33
20201,01727,0:49:19,0:27:37,0:16:46,0:03:07,1:45:33,1:45:33
20697,01728,0:50:08,0:28:02,0:16:09,0:03:03,1:45:41,1:45:41
23162,01729,0:49:45,0:28:07,0:17:06,0:03:15,1:45:43,1:45:43
20195,01730,0:49:49,0:27:31,0:16:45,0:03:19,1:45:43,1:45:43
