Bib,ID,3.9k,Chip Time,Finish Time
53339,7122,0:18:10,0:34:41,0:34:41
50448,7123,0:19:40,0:34:42,0:35:05
53297,7124,0:18:57,0:34:42,0:35:18
50392,7125,0:18:19,0:34:48,0:35:18
53552,7126,0:19:10,0:34:49,0:34:50
50364,7127,0:19:45,0:34:58,0:35:38
50068,7128,0:21:11,0:34:58,0:35:00
53216,7129,0:19:21,0:34:59,0:35:43
53827,7130,0:18:59,0:35:04,0:35:16
53500,7131,0:18:55,0:35:06,0:35:14
53151,7132,0:18:58,0:35:09,0:35:10
53076,7133,0:18:49,0:35:10,0:35:17
50076,7134,0:19:17,0:35:11,0:35:20
50330,7135,0:19:19,0:35:11,0:35:50
53285,7136,0:19:44,0:35:12,0:35:28
54036,7137,0:19:05,0:35:13,0:35:42
53208,7138,0:19:25,0:35:14,0:35:28
50337,7139,0:19:53,0:35:17,0:35:24
53386,7140,0:19:19,0:35:17,0:35:33
50310,7141,0:19:37,0:35:18,0:35:19
53063,7142,0:19:29,0:35:18,0:35:19
50671,7143,0:17:34,0:35:20,0:35:52
53485,7144,0:19:41,0:35:23,0:35:27
53081,7145,0:19:23,0:35:23,0:36:00
50252,7146,0:19:45,0:35:23,0:35:32
50750,7147,0:19:43,0:35:24,0:35:46
53350,7148,0:19:02,0:35:25,0:35:50
50223,7149,0:20:17,0:35:26,0:35:35
50360,7150,0:19:24,0:35:26,0:35:27
50019,7151,0:19:10,0:35:27,0:35:49
53015,7152,0:19:11,0:35:27,0:35:49
53036,7153,0:19:42,0:35:29,0:35:42
50379,7154,0:19:38,0:35:29,0:35:53
53170,7155,0:20:59,0:35:29,0:35:47
53303,7156,0:19:29,0:35:30,0:35:32
53859,7157,0:19:12,0:35:30,0:36:00
53229,7158,0:19:27,0:35:31,0:36:12
50748,7159,0:19:42,0:35:34,0:35:57
53422,7160,0:19:54,0:35:36,0:35:43
53268,7161,0:19:57,0:35:39,0:35:40
53479,7162,0:19:06,0:35:39,0:35:41
50290,7163,0:18:52,0:35:41,0:36:11
53324,7164,0:19:42,0:35:41,0:35:44
50192,7165,0:18:50,0:35:44,0:35:56
50241,7166,0:19:54,0:35:46,0:36:11
53968,7167,,0:35:46,0:36:05
53014,7168,,0:35:48,0:36:12
53298,7169,0:20:14,0:35:50,0:36:24
50717,7170,0:19:27,0:35:50,0:36:16
53329,7171,0:19:43,0:35:53,0:36:43
50601,7172,0:20:06,0:35:54,0:36:13
53766,7173,0:18:52,0:35:55,0:36:11
50078,7174,0:19:18,0:35:56,0:36:14
50292,7175,0:19:43,0:35:57,0:36:04
53361,7176,0:19:43,0:35:57,0:36:05
53176,7177,0:19:30,0:35:59,0:36:47
53605,7178,0:19:45,0:36:01,0:36:17
50097,7179,0:19:39,0:36:03,0:36:32
53582,7180,0:18:55,0:36:07,0:36:42
50491,7181,,0:36:07,0:36:07
53016,7182,0:19:15,0:36:08,0:36:25
53145,7183,0:19:34,0:36:09,0:36:39
50288,7184,0:19:20,0:36:10,0:36:41
53736,7185,0:18:54,0:36:10,0:36:46
53087,7186,0:20:41,0:36:16,0:36:19
53315,7187,0:20:19,0:36:17,0:37:17
50703,7188,0:20:23,0:36:21,0:36:21
50153,7189,0:19:48,0:36:22,0:36:42
53758,7190,0:20:22,0:36:23,0:37:10
53299,7191,0:19:50,0:36:23,0:36:56
50517,7192,0:20:22,0:36:24,0:37:10
53241,7193,0:20:00,0:36:24,0:36:34
50272,7194,0:21:22,0:36:25,0:37:12
53439,7195,0:19:36,0:36:26,0:37:04
53254,7196,0:19:32,0:36:27,0:36:53
53272,7197,0:19:54,0:36:28,0:37:00
50066,7198,0:20:01,0:36:28,0:36:43
53353,7199,0:18:56,0:36:28,0:36:57
54131,7200,0:20:12,0:36:32,0:36:39
53408,7201,0:20:12,0:36:32,0:36:38
50369,7202,0:19:55,0:36:33,0:36:58
50616,7203,0:20:30,0:36:33,0:36:47
50329,7204,0:19:30,0:36:35,0:37:13
50476,7205,0:20:25,0:36:36,0:36:50
53638,7206,0:20:25,0:36:36,0:36:50
50629,7207,0:21:59,0:36:38,0:36:46
53041,7208,0:21:00,0:36:38,0:36:40
50226,7209,0:20:51,0:36:38,0:36:41
50630,7210,0:18:49,0:36:38,0:36:50
54007,7211,0:19:43,0:36:39,0:37:17
50631,7212,0:20:09,0:36:40,0:36:52
53054,7213,0:20:45,0:36:41,0:36:54
50287,7214,0:19:49,0:36:41,0:37:06
53951,7215,0:21:46,0:36:48,0:36:56
50598,7216,0:21:46,0:36:49,0:36:56
50109,7217,0:20:55,0:36:51,0:36:56
53173,7218,0:20:30,0:36:51,0:37:33
50143,7219,0:19:59,0:36:52,0:37:11
50204,7220,0:20:28,0:36:55,0:37:35
53191,7221,0:19:48,0:36:59,0:37:09
50266,7222,0:20:29,0:37:05,0:37:10
53391,7223,0:20:58,0:37:05,0:37:22
50157,7224,0:19:53,0:37:06,0:37:28
50075,7225,0:22:10,0:37:07,0:37:53
53625,7226,0:19:42,0:37:09,0:37:14
53383,7227,0:21:19,0:37:09,0:37:15
50676,7228,0:20:17,0:37:11,0:37:39
53049,7229,0:19:46,0:37:11,0:37:46
50023,7230,0:21:35,0:37:14,0:37:16
50117,7231,0:20:53,0:37:16,0:37:30
50191,7232,0:20:13,0:37:17,0:38:03
50411,7233,0:20:54,0:37:17,0:37:17
50186,7234,0:20:54,0:37:19,0:38:10
50698,7235,0:21:42,0:37:24,0:37:29
50695,7236,0:20:30,0:37:24,0:37:36
50173,7237,0:20:09,0:37:24,0:37:43
53464,7238,0:20:42,0:37:24,0:37:27
50206,7239,0:20:52,0:37:25,0:38:07
50089,7240,0:21:27,0:37:27,0:37:28
50350,7241,0:20:22,0:37:31,0:38:07
50715,7242,0:19:07,0:37:39,0:37:51
53462,7243,0:20:01,0:37:39,0:38:22
53512,7244,0:19:07,0:37:39,0:37:51
53084,7245,0:21:11,0:37:40,0:37:41
50353,7246,0:20:23,0:37:43,0:38:07
53444,7247,0:20:23,0:37:43,0:38:07
53104,7248,0:21:09,0:37:43,0:37:54
50282,7249,0:19:21,0:37:44,0:38:15
53496,7250,0:20:19,0:37:45,0:38:13
50081,7251,0:20:49,0:37:48,0:38:11
50565,7252,0:20:29,0:37:50,0:38:32
53082,7253,0:20:48,0:37:52,0:38:10
50628,7254,0:20:46,0:37:52,0:38:18
50035,7255,0:21:09,0:37:54,0:38:17
53974,7256,0:20:38,0:37:57,0:38:07
50456,7257,0:20:08,0:38:00,0:38:29
50581,7258,0:21:46,0:38:02,0:38:27
50654,7259,0:20:53,0:38:02,0:38:02
53270,7260,0:20:09,0:38:02,0:38:26
50550,7261,0:21:45,0:38:03,0:38:27
53461,7262,0:20:40,0:38:04,0:38:44
53108,7263,0:20:38,0:38:05,0:38:27
50614,7264,0:22:27,0:38:05,0:38:20
54195,7265,0:21:07,0:38:07,0:38:10
50169,7266,0:21:14,0:38:09,0:38:13
50609,7267,0:21:19,0:38:09,0:38:25
50610,7268,0:21:18,0:38:09,0:38:25
50098,7269,0:18:31,0:38:09,0:38:39
53581,7270,0:20:44,0:38:09,0:38:19
53224,7271,0:19:24,0:38:09,0:38:14
50113,7272,0:20:39,0:38:10,0:38:26
50071,7273,0:21:33,0:38:11,0:38:12
50572,7274,0:18:38,0:38:12,0:38:57
50264,7275,0:20:51,0:38:13,0:38:56
53659,7276,0:21:11,0:38:14,0:38:33
53124,7277,0:21:16,0:38:14,0:38:17
54130,7278,0:20:38,0:38:15,0:38:17
53234,7279,0:21:31,0:38:16,0:38:31
50284,7280,0:20:27,0:38:16,0:38:43
50525,7281,0:24:09,0:38:17,0:38:23
54126,7282,0:21:30,0:38:18,0:38:19
50689,7283,0:20:32,0:38:20,0:38:32
50294,7284,0:20:54,0:38:21,0:38:36
53091,7285,0:20:57,0:38:21,0:39:07
53676,7286,0:20:33,0:38:21,0:38:33
50331,7287,0:21:32,0:38:23,0:38:24
50203,7288,0:21:33,0:38:25,0:38:30
53092,7289,,0:38:26,0:39:12
50235,7290,0:22:02,0:38:27,0:38:48
53312,7291,0:22:11,0:38:30,0:38:36
53013,7292,0:21:51,0:38:32,0:38:35
53495,7293,0:20:27,0:38:34,0:39:21
50397,7294,0:20:20,0:38:34,0:39:21
50270,7295,0:20:38,0:38:36,0:38:53
53843,7296,0:21:13,0:38:39,0:38:50
53927,7297,0:23:02,0:38:39,0:39:10
50617,7298,0:21:27,0:38:40,0:38:52
50176,7299,0:21:13,0:38:41,0:39:31
50321,7300,0:20:40,0:38:44,0:39:00
53428,7301,0:21:13,0:38:47,0:39:17
53335,7302,,0:38:48,0:39:03
50319,7303,0:21:00,0:38:49,0:39:06
54128,7304,0:20:50,0:38:49,0:39:11
53487,7305,0:21:15,0:38:50,0:39:02
50426,7306,0:22:19,0:38:50,0:38:53
50069,7307,0:19:32,0:38:51,0:39:26
53292,7308,0:20:55,0:38:52,0:39:01
53165,7309,0:21:32,0:38:55,0:39:01
53221,7310,0:20:45,0:38:55,0:39:32
53318,7311,0:21:07,0:38:55,0:38:59
53261,7312,0:20:36,0:38:56,0:39:18
53737,7313,0:20:44,0:38:56,0:39:31
50335,7314,0:20:57,0:38:56,0:39:15
53858,7315,0:21:16,0:38:58,0:39:28
53404,7316,0:20:56,0:38:59,0:39:22
53096,7317,0:21:27,0:39:03,0:39:34
53392,7318,0:21:52,0:39:07,0:39:31
53765,7319,0:21:06,0:39:07,0:39:25
53144,7320,0:21:09,0:39:08,0:39:11
50357,7321,0:22:02,0:39:08,0:39:20
53217,7322,0:21:15,0:39:08,0:39:54
53393,7323,0:21:54,0:39:09,0:39:34
50189,7324,0:22:07,0:39:10,0:39:52
50620,7325,0:21:39,0:39:10,0:39:23
50205,7326,0:21:12,0:39:10,0:39:42
53181,7327,0:22:26,0:39:12,0:40:04
50309,7328,0:21:12,0:39:12,0:39:44
53112,7329,0:21:39,0:39:13,0:39:23
50276,7330,0:21:10,0:39:15,0:39:19
50082,7331,0:22:21,0:39:15,0:39:20
50240,7332,0:21:46,0:39:16,0:39:26
53330,7333,0:21:07,0:39:17,0:40:07
50248,7334,0:22:05,0:39:17,0:39:28
53083,7335,0:22:21,0:39:17,0:39:23
53752,7336,0:21:06,0:39:17,0:39:20
53304,7337,0:21:41,0:39:19,0:39:22
53981,7338,0:21:17,0:39:19,0:39:53
53980,7339,0:21:18,0:39:19,0:39:53
50553,7340,0:21:04,0:39:19,0:39:19
53149,7341,0:21:13,0:39:22,0:39:41
53342,7342,0:21:11,0:39:23,0:39:26
53403,7343,0:21:37,0:39:23,0:39:38
50593,7344,0:21:19,0:39:28,0:39:45
50195,7345,0:21:32,0:39:33,0:40:20
50744,7346,0:23:12,0:39:39,0:40:04
53556,7347,0:21:45,0:39:42,0:40:09
53899,7348,0:20:48,0:39:44,0:40:17
53536,7349,0:20:47,0:39:44,0:40:17
53661,7350,0:21:49,0:39:45,0:40:18
53935,7351,,0:39:49,0:39:49
50733,7352,0:21:50,0:39:51,0:40:22
54124,7353,0:21:53,0:39:56,0:40:08
53057,7354,0:21:39,0:39:57,0:40:01
53021,7355,0:21:39,0:39:57,0:40:03
53592,7356,0:22:24,0:39:58,0:40:13
53203,7357,0:20:28,0:39:59,0:40:50
53277,7358,0:21:13,0:40:01,0:40:21
50322,7359,0:22:06,0:40:01,0:40:16
50461,7360,,0:40:05,0:40:05
50198,7361,0:23:00,0:40:08,0:40:55
50152,7362,0:16:36,0:40:09,0:40:31
53555,7363,0:22:50,0:40:11,0:41:37
53027,7364,0:21:32,0:40:12,0:40:24
