Bib,ID,14.4k,25.8k,32.3k,37.9k,Chip Time,Finish Time
40908,00126,1:04:53,0:51:32,0:29:02,0:26:27,3:13:55,3:13:55
40017,00127,1:05:31,0:52:22,0:29:22,0:25:09,3:13:57,3:13:57
43034,00128,1:05:08,0:51:51,0:29:05,0:26:09,3:13:59,3:13:59
40371,00129,1:05:15,0:51:30,0:29:06,0:25:38,3:14:02,3:14:02
40122,00130,1:03:43,0:52:03,0:29:49,0:26:38,3:14:43,3:14:43
40213,00131,1:04:01,0:51:20,0:29:17,0:28:09,3:14:45,3:14:45
41094,00132,1:00:23,0:50:05,0:31:37,0:29:18,3:14:54,3:14:54
40623,00133,1:05:31,0:51:16,0:29:05,0:26:42,3:15:38,3:15:38
40134,00134,1:04:28,0:51:00,0:28:54,0:26:49,3:15:51,3:15:51
40973,00135,1:00:33,0:48:14,0:27:20,0:27:20,3:15:53,3:15:53
40114,00136,1:06:38,0:52:47,0:29:56,0:25:30,3:16:13,3:16:13
43147,00137,1:06:36,0:53:13,0:29:44,0:25:39,3:16:19,3:16:19
40295,00138,1:06:57,0:52:24,0:29:12,0:25:51,3:16:24,3:16:24
40026,00139,1:07:33,0:51:12,0:29:19,0:27:00,3:16:24,3:16:24
40233,00140,1:04:12,0:50:48,0:29:14,0:27:50,3:16:29,3:16:29
40163,00141,1:07:02,0:53:05,0:29:25,0:25:50,3:16:43,3:16:43
41091,00142,1:04:34,0:55:02,0:29:46,0:26:02,3:16:44,3:16:44
40019,00143,1:06:41,0:53:10,0:30:21,0:26:11,3:16:50,3:16:50
40361,00144,1:09:56,0:52:39,0:29:03,0:25:18,3:17:07,3:17:07
41170,00145,1:06:26,0:52:59,0:29:45,0:25:50,3:17:15,3:17:15
40570,00146,1:06:45,0:53:23,0:30:11,0:25:50,3:17:19,3:17:19
40217,00147,1:03:34,0:52:05,0:29:59,0:28:35,3:17:22,3:17:22
40671,00148,1:06:48,0:53:11,0:30:13,0:26:12,3:17:23,3:17:23
40781,00149,1:06:58,0:53:42,0:30:58,0:25:35,3:17:52,3:17:52
40094,00150,1:06:24,0:53:13,0:30:12,0:26:18,3:17:59,3:17:59
40984,00151,1:06:23,0:53:14,0:30:11,0:26:17,3:17:59,3:17:59
40092,00152,1:07:40,0:53:36,0:30:02,0:25:38,3:18:12,3:18:12
40719,00153,1:09:12,0:54:45,0:28:56,0:24:40,3:18:14,3:18:14
40449,00154,1:03:16,0:51:50,0:30:21,0:28:23,3:18:23,3:18:23
43111,00155,1:06:56,0:53:45,0:30:11,0:26:42,3:18:34,3:18:34
40145,00156,1:07:03,0:53:49,0:30:27,0:26:07,3:18:35,3:18:35
40153,00157,1:06:53,0:53:12,0:30:11,0:26:00,3:18:55,3:18:55
41041,00158,1:07:42,0:53:52,0:30:31,0:26:18,3:18:56,3:18:56
40871,00159,1:01:02,0:49:01,0:30:05,0:28:27,3:18:57,3:18:57
40151,00160,1:06:42,0:53:01,0:30:13,0:26:29,3:19:03,3:19:03
40140,00161,1:07:18,0:53:09,0:30:00,0:26:00,3:19:20,3:19:20
40455,00162,1:09:26,0:54:17,0:29:29,0:25:16,3:19:21,3:19:21
40385,00163,1:07:42,0:53:52,0:30:30,0:26:20,3:19:23,3:19:23
40800,00164,1:07:26,0:53:43,0:30:13,0:26:43,3:19:30,3:19:30
